date,max_temp,min_temp
2026-08-12,32.1,24.8
2026-08-13,34.3,25.4
2026-08-14,31.5,23.9
2026-08-15,32.7,24.2
2026-08-16,31.9,23.6
2026-08-17,31.9,23.9
2026-08-18,30.4,23.4
2026-08-19,28.6,23.2
